subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2a01:cb1c:cd7::/48,205,17186.973610945846,628.0,0.0,628.0,17186.973610945846,485.79999999999995,38.0,114.08292682926829,294.28898177737074,109.80000000000015,0.0,25.06799999999985,0.707999999999997,6.322020202020202,205,17186.973610945846,628.0,0.0,628.0,17186.973610945846,485.79999999999995,38.0,114.08292682926829,294.28898177737074,109.80000000000015,0.0,25.06799999999985,0.707999999999997,6.322020202020202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb19:8ce5::/48,75,26627.582222222234,555.0,13.0,555.0,26627.582222222234,506.79999999999995,33.2,133.06666666666666,206.09386038159374,87.44000000000031,0.0,28.899999999999974,0.3540000000000006,5.5088888888888885,75,26627.582222222234,555.0,13.0,555.0,26627.582222222234,506.79999999999995,33.2,133.06666666666666,206.09386038159374,87.44000000000031,0.0,28.899999999999974,0.3540000000000006,5.5088888888888885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a02:1210:3e16::/48,267,149438.8096059702,3108.0,3.0,3108.0,149438.8096059702,532.8,34.9,158.1198501872659,61921.9807124171,2489.72,0.0,39.2319999999998,0.2080000000000062,31.326868686868682,237,166663.3362530934,3108.0,3.0,3108.0,166663.3362530934,539.5999999999999,38.0,171.54852320675104,61997.21094810732,2491.8399999999997,0.0,34.13599999999948,0.15200000000000374,31.335353535353534,0.0,0.9240506329113924,0.1797752808988764,0.0,0.0,0.0,0.0,1.0
2a01:cb11:455::/48,201,20937.102002425683,564.0,1.0,564.0,20937.102002425683,509.0,52.0,137.9502487562189,152.76767676767682,93.0,0.0,28.299999999999983,0.6999999999999936,5.666666666666667,201,20937.102002425683,564.0,1.0,564.0,20937.102002425683,509.0,52.0,137.9502487562189,152.76767676767682,93.0,0.0,28.299999999999983,0.6999999999999936,5.666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2601:602:8702::/48,41479,1113.337037646684,2181.0,2.0,2181.0,1113.337037646684,120.0,45.0,76.27775500855854,41933.00418324661,2049.0,0.0,3.0,1.0,21.838383838383837,41479,1113.337037646684,2181.0,2.0,2181.0,1113.337037646684,120.0,45.0,76.27775500855854,41933.00418324661,2049.0,0.0,3.0,1.0,21.838383838383837,0.0,0.0,0.9997348055642614,0.0,0.0,0.0,0.0002651944357385665,
2a01:cb00:62::/48,175,15561.701355102039,603.0,5.0,603.0,15561.701355102039,507.0999999999999,56.099999999999994,125.49142857142857,185.55955849403168,72.18000000000006,0.0,34.109999999999964,0.3199999999999982,6.003030303030303,175,15561.701355102039,603.0,5.0,603.0,15561.701355102039,507.0999999999999,56.099999999999994,125.49142857142857,185.55955849403168,72.18000000000006,0.0,34.109999999999964,0.3199999999999982,6.003030303030303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb1c:f46::/48,177,22594.734527115466,593.0,2.0,593.0,22594.734527115466,527.3999999999999,37.0,125.87005649717514,284.09494802571186,112.28000000000046,0.0,30.379999999999814,0.3880000000000038,5.8545454545454545,177,22594.734527115466,593.0,2.0,593.0,22594.734527115466,527.3999999999999,37.0,125.87005649717514,284.09494802571186,112.28000000000046,0.0,30.379999999999814,0.3880000000000038,5.8545454545454545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb15:5d2::/48,192,19188.9208984375,546.0,1.0,546.0,19188.9208984375,491.0499999999999,42.0,126.78125,118.86694553616974,60.39999999999958,0.0,29.884999999999998,0.441,5.468282828282828,192,19188.9208984375,546.0,1.0,546.0,19188.9208984375,491.0499999999999,42.0,126.78125,118.86694553616974,60.39999999999958,0.0,29.884999999999998,0.441,5.468282828282828,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:1907::/48,96,20853.145399305537,572.0,15.0,572.0,20853.145399305537,542.25,33.0,110.35416666666667,302.4150923375172,104.7500000000004,0.0,20.789999999999736,0.1850000000000058,5.633838383838384,96,20853.145399305537,572.0,15.0,572.0,20853.145399305537,542.25,33.0,110.35416666666667,302.4150923375172,104.7500000000004,0.0,20.789999999999736,0.1850000000000058,5.633838383838384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a02:1210:1a07::/48,287,168939.82228751117,3070.0,2.0,3070.0,168939.82228751117,546.7,36.0,173.9965156794425,60074.3759603306,2452.9000000000005,0.0,34.75599999999976,0.7059999999999973,30.955151515151513,221,213703.50750394136,3064.0,1.0,3064.0,213703.50750394136,557.0,31.0,203.40271493212668,31274.194510764075,1486.7999999999865,0.0,35.15999999999985,0.20000000000001278,30.923232323232323,0.0,0.8009049773755657,0.3832752613240418,0.0,0.0,0.0,0.0,1.0
2a02:1210:32af::/48,54,325099.8504801097,3047.0,4.0,3047.0,325099.8504801097,560.5,27.95,197.03703703703704,27136.2959079889,1305.3900000000026,0.0,58.52999999999991,0.13199999999999998,30.756363636363638,48,361712.53993055574,3039.0,17.0,3039.0,361712.53993055574,555.5,23.0,209.79166666666666,24095.78849007253,1157.6099999999974,0.0,66.77900000000065,0.03400000000000033,30.61626262626263,0.0,0.875,0.2222222222222222,0.0,0.0,0.0,0.0,1.0
2600:1702:2650::/48,75,14074.294400000008,1059.0,10.0,1059.0,14074.294400000004,112.49999999999999,22.4,70.84,5361.554690011179,694.1199999999952,0.0,3.0259999999999962,0.45799999999999974,10.622222222222222,1,,,,,,,,,,,,,,,,,1.0,,,,,
2a02:1210:24f3::/48,124,28850.071540062443,579.0,7.0,579.0,28850.071540062436,539.8,35.8,133.46774193548387,293.4765803489454,109.37999999999988,0.0,20.921999999999514,0.2440000000000012,5.775454545454545,122,29273.574845471638,579.0,7.0,579.0,29273.574845471638,540.5999999999999,34.599999999999994,134.36065573770492,312.4645154780117,137.25999999999914,0.0,20.96999999999986,0.2270000000000035,5.775656565656567,0.0,0.9918032786885246,0.024193548387096774,0.0,0.0,0.0,0.0,1.0
