subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2a02:1210:9672::/48,41,24036.51160023796,496.0,15.0,496.0,24036.51160023796,474.0,28.0,138.02439024390245,63.039469441893644,37.199999999999875,0.0,21.460000000000054,0.3999999999999986,4.94949494949495,31,29280.087408949006,496.0,15.0,496.0,29280.08740894901,474.5,27.0,161.90322580645162,43.38268952147738,27.90000000000009,0.0,23.699999999999815,0.30000000000001137,4.9646464646464645,0.0,0.6129032258064516,0.5365853658536586,0.0,0.0,0.0,0.0,1.0
2a04:9546:1917::/48,88,19607.6920196281,504.0,8.0,504.0,19607.69201962809,464.9499999999998,40.05,144.2159090909091,54.29535922865001,31.909999999999684,0.0,23.685000000000162,0.6669999999999903,5.0206060606060605,88,19607.6920196281,504.0,8.0,504.0,19607.69201962809,464.9499999999998,40.05,144.2159090909091,54.29535922865001,31.909999999999684,0.0,23.685000000000162,0.6669999999999903,5.0206060606060605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:1905::/48,86,18641.38899405083,464.0,3.0,464.0,18641.38899405083,435.0,27.0,143.47674418604652,46.23856341189667,39.099999999999795,0.0,16.75499999999996,0.5199999999999988,4.661111111111111,86,18641.38899405083,464.0,3.0,464.0,18641.38899405083,435.0,27.0,143.47674418604652,46.23856341189667,39.099999999999795,0.0,16.75499999999996,0.5199999999999988,4.661111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb1c:f4f::/48,180,20733.211450617287,508.0,6.0,508.0,20733.21145061729,456.8999999999997,40.699999999999996,157.62777777777777,42.191062707886864,35.859999999999786,0.0,20.824000000000012,0.9120000000000061,5.022828282828283,180,20733.211450617287,508.0,6.0,508.0,20733.21145061729,456.8999999999997,40.699999999999996,157.62777777777777,42.191062707886864,35.859999999999786,0.0,20.824000000000012,0.9120000000000061,5.022828282828283,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:19c9::/48,21,23591.74149659863,494.0,7.0,494.0,23591.74149659863,442.0,26.0,142.85714285714286,35.997796143250675,26.000000000000398,0.0,12.679999999999932,0.20000000000000284,4.975757575757576,21,23591.74149659863,494.0,7.0,494.0,23591.74149659863,442.0,26.0,142.85714285714286,35.997796143250675,26.000000000000398,0.0,12.679999999999932,0.20000000000000284,4.975757575757576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:1924::/48,20,16813.290000000005,467.0,1.0,467.0,16813.290000000005,415.70000000000005,20.7,116.9,45.69402291602894,30.780000000000257,0.18999999999999995,19.467000000000155,0.38000000000000256,4.7152525252525255,20,16813.290000000005,467.0,1.0,467.0,16813.290000000005,415.70000000000005,20.7,116.9,45.69402291602894,30.780000000000257,0.18999999999999995,19.467000000000155,0.38000000000000256,4.7152525252525255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a01:cb19:8590::/48,192,66149.10934787331,3089.0,2.0,3089.0,66149.10934787331,476.0999999999998,42.65,175.99479166666666,65810.16916077952,2569.73,0.0,20.164000000000055,0.9100000000000108,31.172626262626263,192,66149.10934787331,3089.0,2.0,3089.0,66149.10934787331,476.0999999999998,42.65,175.99479166666666,65810.16916077952,2569.73,0.0,20.164000000000055,0.9100000000000108,31.172626262626263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:19f6::/48,67,29392.368010692815,507.0,0.0,507.0,29392.368010692815,465.7,23.9,163.46268656716418,72.17860863177224,40.37999999999991,0.0,23.058000000000117,0.659999999999988,5.121212121212121,67,29392.368010692815,507.0,0.0,507.0,29392.368010692815,465.7,23.9,163.46268656716418,72.17860863177224,40.37999999999991,0.0,23.058000000000117,0.659999999999988,5.121212121212121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a02:1210:4882::/48,144,24882.487654320994,1081.0,4.0,1081.0,24882.48765432099,437.85,32.0,152.61111111111111,3352.843928272627,579.7600000000002,0.0,25.83300000000007,0.6400000000000006,10.870101010101008,130,26654.3824852071,1081.0,4.0,1081.0,26654.382485207094,439.65,30.699999999999996,161.64615384615385,3301.499709601064,575.2800000000002,0.0,21.70399999999977,0.6299999999999955,10.872929292929294,0.0,0.8846153846153846,0.2013888888888889,0.0,0.0,0.0,0.0,1.0
2a04:9546:1900::/48,97,16590.532256350307,517.0,9.0,517.0,16590.53225635031,422.9999999999999,30.599999999999987,131.93814432989691,66.3076068156309,47.51999999999998,0.0,20.935999999999932,0.34799999999999187,5.134949494949495,96,16633.814127604168,517.0,9.0,517.0,16633.814127604168,423.5,37.0,133.09375,64.4909616365679,46.65000000000026,0.0,21.82000000000005,0.48499999999999976,5.1358585858585855,0.0,1.0,0.010309278350515464,0.0,0.0,0.0,0.0,1.0
2a04:9546:190c::/48,111,24635.097800503205,500.0,3.0,500.0,24635.0978005032,443.0,26.0,158.63063063063063,42.11771247831859,28.40000000000026,0.0,19.65999999999992,0.6000000000000064,5.019191919191919,111,24635.097800503205,500.0,3.0,500.0,24635.0978005032,443.0,26.0,158.63063063063063,42.11771247831859,28.40000000000026,0.0,19.65999999999992,0.6000000000000064,5.019191919191919,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a03:c100:f70b::/48,179,159446.4017976967,3052.0,1.0,3052.0,159446.4017976967,483.4,29.7,203.62569832402235,62868.775355739206,2511.9,0.0,23.74999999999996,0.9140000000000013,30.802424242424244,179,159446.4017976967,3052.0,1.0,3052.0,159446.4017976967,483.4,29.7,203.62569832402235,62868.775355739206,2511.9,0.0,23.74999999999996,0.9140000000000013,30.802424242424244,0.0,0.05027932960893855,0.9497206703910615,0.0,0.0,0.0,0.0,1.0
2a01:4f8:c010::/48,26833,13800.649452221613,3299.0,1.0,3299.0,13800.649452221613,163.0,52.0,100.2917675995975,96290.700377186,3105.0,1.0,4.0,1.0,33.16161616161616,109,2045587.4281626127,3282.0,14.0,3282.0,2045587.4281626127,3210.2,49.2,1042.9449541284403,38919.454008039844,1521.1999999999864,0.0,16.39599999999989,0.6000000000000014,33.0020202020202,0.009174311926605505,0.0,0.9992173815823799,0.0,0.11009174311926606,0.01834862385321101,0.05504587155963303,
2a04:9546:19f8::/48,68,22723.421064013834,544.0,3.0,544.0,22723.421064013834,456.65,37.199999999999996,146.0735294117647,77.10736022854816,40.87000000000012,0.0,26.065000000000133,0.43800000000000094,5.474646464646464,68,22723.421064013834,544.0,3.0,544.0,22723.421064013834,456.65,37.199999999999996,146.0735294117647,77.10736022854816,40.87000000000012,0.0,26.065000000000133,0.43800000000000094,5.474646464646464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a03:c100:f602::/48,253,1075786.386445656,3117.0,3.0,3117.0,1075786.386445656,3069.3999999999996,50.0,606.2371541501976,41771.66577222818,1989.7200000000284,0.0,25.075999999999997,1.520000000000001,31.44929292929293,243,1109126.9693982964,3117.0,3.0,3117.0,1109126.9693982964,3072.3999999999996,50.599999999999994,626.3539094650206,61837.60290394858,2492.34,0.0,21.640000000000118,1.382000000000005,31.450303030303033,0.0,0.18106995884773663,0.8260869565217391,0.0,0.0,0.0,0.0,1.0
2a04:9546:190b::/48,102,23991.046616685897,526.0,16.0,526.0,23991.046616685897,495.89999999999975,45.0,164.7156862745098,63.92620661157033,54.09000000000049,0.11999999999999744,21.4789999999998,0.7229999999999989,5.151212121212121,102,23991.046616685897,526.0,16.0,526.0,23991.046616685897,495.89999999999975,45.0,164.7156862745098,63.92620661157033,54.09000000000049,0.11999999999999744,21.4789999999998,0.7229999999999989,5.151212121212121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2001:a61:3001::/48,162,17376.313976527963,518.0,1.0,518.0,17376.313976527963,462.69999999999993,37.3,142.79012345679013,51.62981122334429,35.919999999999675,0.0,19.897000000000062,0.8540000000000006,5.222222222222222,162,17376.313976527963,518.0,1.0,518.0,17376.313976527963,462.69999999999993,37.3,142.79012345679013,51.62981122334429,35.919999999999675,0.0,19.897000000000062,0.8540000000000006,5.222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
