subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2402:1980:8250::/48,11813,6636913.536914306,231431.0,3.0,231431.0,6636913.536914306,1805.0,292.0,955.7002454922543,518405390.3714586,227727.44000000012,9.0,39.25200000000003,12.0,2336.919191919192,193,5731801.168031355,19035.0,18.0,19035.0,5731801.168031355,4407.799999999997,247.6,1481.341968911917,643394.9822455666,5729.519999999954,0.9200000000000159,772.3359999999982,7.271999999999997,191.9422222222222,0.6217616580310881,0.0,0.9846778972318632,0.0,0.0,0.0,0.3160621761658031,0.0
2001:44c8:45c1::/48,13654,275761944.6774786,1202301.0,3.0,1202301.0,275761944.6774786,3587.3499999999985,244.0,1622.9467555295153,14123578985.287645,1188594.66,6.0,238.26399999999884,7.0,12143.868686868687,13649,275862417.87124825,1202301.0,3.0,1202301.0,275862417.87124825,3587.5999999999985,244.0,1623.3925562312256,14123552287.96749,1188593.56,6.0,238.14399999999821,7.0,12143.868686868687,0.0918748626272987,0.0,0.00036619305697963966,0.0,0.0001465308813832515,0.6962414828925196,0.21173712359879845,0.0
2001:44c8:45d2::/48,12812,268235272.58693454,1189897.0,24.0,1189897.0,268235272.58693454,3581.0,262.0,1695.0040586949735,13817215946.26585,1175636.31,5.0,305.6619999999995,7.0,12018.52414141414,12810,268276833.8247826,1189897.0,24.0,1189897.0,268276833.8247826,3581.0,262.0,1695.2232630757221,13817159003.695057,1175633.8900000001,5.0,305.97799999999876,7.0,12018.515151515152,0.08594847775175644,0.0,0.00015610365282547612,0.0,0.0,0.695784543325527,0.21826697892271663,0.0
2401:4900:2316::/48,14668,451955646.2095934,2187327.0,12.0,2187327.0,451955646.2095934,3295.0,248.0,1432.0243386964821,47560858680.372375,2181018.79,6.0,161.5180000000003,8.405999999999949,22093.555555555555,14668,451955646.2095934,2187327.0,12.0,2187327.0,451955646.2095934,3295.0,248.0,1432.0243386964821,47560858680.372375,2181018.79,6.0,161.5180000000003,8.405999999999949,22093.555555555555,0.03722388873738751,0.00040905372238887375,0.0,0.00013635124079629124,0.0,0.010294518680119989,0.9519361876193073,0.010869565217391304
2a02:b125:11::/48,20691,181910024.02538747,1672254.0,9.0,1672254.0,181910024.02538747,3707.0,216.0,1214.1360011599247,27738718316.110516,1665643.9,7.0,241.49000000000026,9.0,16890.828282828283,20678,182023860.30707374,1672254.0,9.0,1672254.0,182023860.30707374,3707.149999999998,216.54999999999973,1214.7027275365122,27738670276.599625,1665642.47,7.0,238.96999999999798,9.0,16890.828282828283,0.1516104071960538,0.001160653834993713,0.0006282924943212025,0.0,0.0004352451881226424,0.0,0.8467936937808299,0.007597340930674264
2001:999:40c::/48,20715,55038049.26805858,587904.0,0.0,587904.0,55038049.26805858,3824.2999999999993,310.0,1588.5346850108617,3382208650.5418253,581654.12,11.0,113.50399999999952,12.0,5937.646464646465,20668,55159393.080719605,587904.0,0.0,587904.0,55159393.080719605,3826.2999999999956,311.0499999999997,1591.4198761370235,3382175994.1610513,581651.35,11.0,114.87400000000392,12.0,5937.636363636364,0.13141087671763113,0.004306173795239017,0.0022688872797489742,0.0,4.8383975227404685e-05,0.0,0.8642345655119025,0.031729055258467025
2405:8d40:4919::/48,4335,128312234.27128047,406724.0,4.0,406724.0,128312234.27128047,3630.9000000000024,164.0,1801.1764705882354,1523385880.0923948,390330.08000000013,6.0,437.70400000000507,8.273999999999978,4108.016767676768,4335,128312234.27128047,406724.0,4.0,406724.0,128312234.27128047,3630.9000000000024,164.0,1801.1764705882354,1523385880.0923948,390330.08000000013,6.0,437.70400000000507,8.273999999999978,4108.016767676768,0.23114186851211072,0.0,0.0,0.0,0.0,0.0,0.7688581314878893,0.0
2401:4900:5d8e::/48,11687,120753283.13762759,783008.0,6.0,783008.0,120753283.13762759,3438.699999999999,213.0,1326.0927526311286,5956059733.850846,771880.88,6.0,240.04999999999848,7.0,7908.656565656565,11684,120784122.14878361,783008.0,6.0,783008.0,120784122.14878361,3438.8500000000004,213.0,1326.2797843204382,5956032528.3001995,771879.14,6.0,239.86299999999858,7.0,7908.656565656565,0.10963711057856898,0.00017117425539198904,0.0002566954736031488,0.0002567613830879836,0.0,0.6525162615542622,0.2374186922286888,0.001558846453624318
2a02:b021:8012::/48,18513,21135119.900228646,232517.0,13.0,232517.0,21135119.900228646,3550.0,204.0,965.675363258251,517498207.00296754,227541.52,7.0,212.32800000000722,9.0,2348.1414141414143,18503,21146295.79688413,232517.0,13.0,232517.0,21146295.79688413,3550.0,204.0,966.0305355888235,517488519.4258849,227539.42,7.0,212.9119999999996,9.0,2348.1414141414143,0.1412203426471383,0.0011349510890125926,0.0005401609679684546,0.0,5.40452899529806e-05,0.0,0.8575906609738961,0.007972665148063782
2a02:2378:1053::/48,13518,27356800.146800432,338604.0,3.0,338604.0,27356800.146800432,2514.449999999999,241.0,1245.1372244414854,1102886488.159854,332171.87,9.0,435.8830000000013,12.0,3419.7272727272725,158,177033833.98097253,166451.0,39.0,166451.0,177033833.98097253,3317.3,222.55,2199.006329113924,217324244.7222344,146894.81,0.6000000000000227,404.0599999999977,5.0329999999999755,1680.8141414141414,0.23417721518987342,0.0,0.9909010208610741,0.0,0.012658227848101266,0.0,0.5316455696202531,0.0
